symbol,timeframe,trades,longs,long_wr,shorts,short_wr,wr_fee,wr_nofee,wr_delta,net,fee,gross,profit_factor,sharpe,max_dd_pct,max_win_streak,max_lose_streak,tp,sl,cut,rev,filtered
FHE,H1,93,50,60.0,43,37.21,49.46,50.54,1.08,1768.3886,79.9944,1848.383,4.6038,1.0552,0.8665,5,5,4,89,0,0,37
ZEREBRO,H1,117,56,58.93,61,42.62,50.43,51.28,0.85,1596.7909,105.0252,1701.8161,3.2329,1.4634,0.9061,6,7,6,111,0,0,58
AGT,H1,78,39,64.1,39,51.28,57.69,60.26,2.56,1423.7196,68.4776,1492.1972,5.2011,2.2762,1.0051,10,7,8,70,0,0,39
TST,H1,98,49,44.9,49,42.86,43.88,46.94,3.06,1287.9157,78.4022,1366.3179,3.7233,1.0113,0.8056,4,6,5,92,1,0,67
BTR,H1,58,29,37.93,29,44.83,41.38,41.38,0.0,1220.1051,47.3793,1267.4844,4.0873,1.0797,0.7334,3,4,3,55,0,0,27
PROMPT,H1,91,48,52.08,43,62.79,57.14,58.24,1.1,1208.8539,73.9801,1282.834,4.6914,1.7022,0.8845,7,5,8,83,0,0,43
PUMPBTC,H1,71,38,60.53,33,54.55,57.75,57.75,0.0,1203.6824,57.6261,1261.3085,6.7259,1.4296,0.3225,8,3,5,66,0,0,47
KOMA,H1,123,58,50.0,65,47.69,48.78,50.41,1.63,1189.7282,101.3607,1291.0889,3.0008,1.7373,1.1488,6,6,11,112,0,0,56
TA,H1,56,29,55.17,27,59.26,57.14,58.93,1.79,1128.5003,49.7302,1178.2305,4.1753,0.8585,1.0374,4,4,1,55,0,0,34
ARC,H1,127,66,57.58,61,37.7,48.03,48.03,0.0,1089.9612,108.8013,1198.7625,2.1105,1.4702,1.5339,6,7,10,117,0,0,45
MOODENG,H1,126,61,45.9,65,40.0,42.86,45.24,2.38,1069.0175,104.2659,1173.2834,2.4017,1.4133,1.2998,5,9,8,118,0,0,53
CHR,H1,194,98,36.73,96,39.58,38.14,42.27,4.12,1045.3567,159.5442,1204.9009,2.1397,0.8214,1.2144,6,9,9,184,1,0,106
BERA,H1,92,50,44.0,42,52.38,47.83,50.0,2.17,1008.6695,73.6422,1082.3117,3.9421,0.7644,0.7934,5,6,4,88,0,0,49
OGN,H1,159,79,51.9,80,41.25,46.54,50.94,4.4,1007.5975,130.961,1138.5585,3.0319,1.6061,0.3821,6,7,5,154,0,0,126
B,H1,66,33,33.33,33,48.48,40.91,43.94,3.03,988.6315,52.4496,1041.081,3.5461,0.7369,1.0028,3,5,5,61,0,0,34
D,H1,97,43,53.49,54,37.04,44.33,48.45,4.12,948.426,77.2174,1025.6435,3.4772,1.4684,0.5832,6,10,5,92,0,0,69
LAB,H1,55,28,50.0,27,37.04,43.64,43.64,0.0,928.4269,46.5338,974.9608,3.3838,1.0826,0.7235,3,7,5,50,0,0,15
SKYAI,H1,87,44,56.82,43,58.14,57.47,58.62,1.15,903.5263,67.2453,970.7716,3.5173,1.8091,0.5757,8,4,6,80,0,0,43
Q,H1,56,28,53.57,28,42.86,48.21,51.79,3.57,895.905,45.307,941.212,3.6156,1.1979,0.9778,4,5,3,53,0,0,26
H,H1,66,36,58.33,30,46.67,53.03,56.06,3.03,881.8523,52.7243,934.5766,2.7493,1.3766,1.0427,8,4,5,60,1,0,29
MEME,H1,207,107,40.19,100,46.0,43.0,44.44,1.45,864.6157,172.0793,1036.6951,1.841,1.2695,1.0762,6,6,6,200,1,0,106
BIGTIME,H1,189,89,51.69,100,40.0,45.5,49.21,3.7,855.7571,158.3318,1014.0889,2.0693,1.1062,0.8871,7,11,7,182,0,0,105
CELR,H1,182,79,43.04,103,42.72,42.86,46.15,3.3,850.2832,142.8557,993.1389,2.2972,0.7962,0.7729,4,10,9,173,0,0,106
BANANAS31,H1,89,47,51.06,42,50.0,50.56,51.69,1.12,845.0347,71.1934,916.2281,3.3119,1.7867,0.6701,5,5,3,86,0,0,54
LUNA2,H1,137,55,52.73,82,39.02,44.53,48.91,4.38,842.7762,112.4648,955.241,2.7395,1.2379,0.5529,6,7,10,127,0,0,132
ORDER,H1,45,22,40.91,23,39.13,40.0,40.0,0.0,841.5099,38.8853,880.3952,5.0617,0.6571,0.4049,2,7,3,42,0,0,40
API3,H1,172,83,51.81,89,39.33,45.35,47.67,2.33,840.7878,143.4229,984.2107,2.1521,1.4513,1.2524,8,10,6,166,0,0,105
SIREN,H1,82,41,46.34,41,41.46,43.9,47.56,3.66,838.8527,61.5812,900.4339,2.9748,1.4429,0.745,6,7,8,74,0,0,42
VELVET,H1,69,35,62.86,34,47.06,55.07,57.97,2.9,838.0276,55.3238,893.3514,4.0108,1.6329,0.6455,11,6,6,63,0,0,36
CYBER,H1,176,82,50.0,94,41.49,45.45,47.16,1.7,837.9813,140.9843,978.9655,2.0518,1.2621,1.3465,6,7,11,164,1,0,103
AXL,H1,165,82,56.1,83,38.55,47.27,49.7,2.42,826.5068,139.2196,965.7264,2.2524,1.7645,0.7577,9,8,17,148,0,0,100
TNSR,H1,163,75,52.0,88,48.86,50.31,52.76,2.45,819.0932,130.891,949.9842,2.2239,1.5772,0.9559,5,9,11,152,0,0,80
MAGIC,H1,177,87,39.08,90,47.78,43.5,48.02,4.52,812.0647,137.2631,949.3278,2.2818,1.5029,0.6226,7,9,10,167,0,0,100
GAS,H1,130,53,58.49,77,50.65,53.85,53.85,0.0,808.291,104.5285,912.8195,3.3688,2.0541,0.3994,5,5,3,127,0,0,145
CHILLGUY,H1,127,60,55.0,67,38.81,46.46,48.03,1.57,800.0868,102.5954,902.6822,1.9907,1.4059,1.1694,7,8,8,118,1,0,60
DUSK,H1,182,96,47.92,86,37.21,42.86,44.51,1.65,796.5421,140.5109,937.053,2.0051,1.4527,0.8423,5,6,15,167,0,0,93
TRB,H1,176,81,38.27,95,41.05,39.77,46.02,6.25,781.9116,147.3415,929.2531,2.0514,1.259,0.5787,4,7,8,168,0,0,115
UMA,H1,185,95,46.32,90,40.0,43.24,46.49,3.24,780.5203,150.0427,930.5631,2.1498,1.2841,0.8638,7,7,10,175,0,0,116
GRIFFAIN,H1,117,61,54.1,56,42.86,48.72,49.57,0.85,778.8743,97.0588,875.9332,2.1387,1.4863,0.6919,5,6,12,105,0,0,43
BB,H1,167,87,48.28,80,42.5,45.51,49.7,4.19,773.422,134.5495,907.9715,2.1507,1.7573,0.4685,6,7,13,154,0,0,68
TLM,H1,170,86,46.51,84,50.0,48.24,51.18,2.94,772.9284,131.7423,904.6706,2.4188,1.6387,0.6603,9,10,10,160,0,0,128
PARTI,H1,94,51,54.9,43,51.16,53.19,55.32,2.13,767.1637,75.7482,842.9119,3.2729,1.7325,0.3322,10,4,6,88,0,0,41
JELLYJELLY,H1,97,49,51.02,48,37.5,44.33,47.42,3.09,754.4272,75.2561,829.6833,2.3826,1.0098,0.9087,6,8,3,94,0,0,51
BSB,H1,15,7,57.14,8,50.0,53.33,53.33,0.0,752.6222,11.8071,764.4294,5.0,1.039,0.6822,2,3,1,14,0,0,1
USTC,H1,173,85,37.65,88,39.77,38.73,41.04,2.31,751.3319,135.5232,886.8551,2.1114,1.1981,0.8362,4,8,6,167,0,0,128
THE,H1,101,50,52.0,51,47.06,49.5,52.48,2.97,732.5349,77.2231,809.7581,2.7214,1.5359,0.6821,7,9,7,94,0,0,55
EDU,H1,169,90,46.67,79,44.3,45.56,47.34,1.78,723.8188,133.6453,857.4641,2.1211,1.4355,0.6277,5,8,8,161,0,0,116
PTB,H1,56,27,66.67,29,44.83,55.36,55.36,0.0,704.9744,44.2588,749.2332,3.1975,1.5454,0.6838,6,4,3,53,0,0,13
GPS,H1,91,50,52.0,41,46.34,49.45,50.55,1.1,681.524,72.4266,753.9506,2.7336,0.8523,0.7285,5,6,0,91,0,0,46
RARE,H1,118,56,50.0,62,51.61,50.85,51.69,0.85,675.8465,92.613,768.4595,2.4516,1.5117,0.75,7,6,5,113,0,0,101
YGG,H1,178,91,39.56,87,47.13,43.26,47.75,4.49,674.8529,140.9597,815.8126,1.8962,1.1781,0.8773,6,6,12,166,0,0,99
IMX,H1,206,104,51.92,102,46.08,49.03,51.46,2.43,665.4142,163.4397,828.8538,1.8884,1.8004,0.8913,6,6,10,196,0,0,93
NMR,H1,168,89,50.56,79,43.04,47.02,49.4,2.38,664.3529,131.6949,796.0478,2.1823,1.3392,0.887,9,6,7,161,0,0,125
COAI,H1,52,26,42.31,26,42.31,42.31,42.31,0.0,659.8203,40.2638,700.0841,2.7859,0.8142,1.0127,3,5,2,50,0,0,39
DYM,H1,173,84,45.24,89,44.94,45.09,46.82,1.73,652.2486,131.7187,783.9672,1.9109,1.4386,0.7042,8,6,13,160,0,0,86
LIGHT,H1,32,15,60.0,17,47.06,53.12,53.12,0.0,647.2609,25.0808,672.3417,5.3519,1.5853,0.6103,4,5,1,31,0,0,25
MELANIA,H1,87,42,45.24,45,37.78,41.38,44.83,3.45,644.2156,67.3169,711.5325,2.908,1.0051,0.799,4,8,7,80,0,0,77
ZEN,H1,162,77,54.55,85,36.47,45.06,46.91,1.85,639.443,125.0259,764.4689,1.8495,1.131,1.5014,5,6,10,151,1,0,113
CTSI,H1,167,80,42.5,87,42.53,42.51,44.31,1.8,635.507,130.7045,766.2115,1.965,1.1568,1.0852,7,10,5,162,0,0,114
我踏马来了,H1,19,11,72.73,8,50.0,63.16,63.16,0.0,633.5759,14.8701,648.446,12.1929,0.9205,0.235,5,3,1,18,0,0,17
FLUID,H1,40,22,59.09,18,33.33,47.5,50.0,2.5,633.4223,31.8388,665.2611,5.0789,0.9152,0.3404,2,4,4,36,0,0,28
MAV,H1,183,95,46.32,88,44.32,45.36,48.09,2.73,629.5098,146.3853,775.8951,1.8937,1.7315,0.9128,6,11,14,169,0,0,90
SSV,H1,183,88,44.32,95,44.21,44.26,45.9,1.64,626.4635,147.2903,773.7539,1.8173,1.498,1.205,7,12,9,174,0,0,106
PENDLE,H1,186,97,55.67,89,42.7,49.46,52.69,3.23,625.4831,148.1434,773.6265,1.9694,1.7627,0.9515,6,8,12,174,0,0,107
ETHFI,H1,172,80,33.75,92,42.39,38.37,40.12,1.74,622.0144,138.86,760.8744,1.8494,1.4297,0.7519,6,13,11,161,0,0,85
SNX,H1,162,76,46.05,86,51.16,48.77,51.23,2.47,612.2204,128.9919,741.2122,1.938,1.0651,0.7957,6,9,8,153,1,0,111
IOTX,H1,165,81,41.98,84,54.76,48.48,50.3,1.82,610.1718,130.094,740.2658,2.045,1.747,0.6723,7,7,16,149,0,0,126
AIXBT,H1,116,58,46.55,58,53.45,50.0,52.59,2.59,610.0209,94.3809,704.4018,2.2691,1.6907,0.7976,7,6,5,111,0,0,63
BLESS,H1,40,18,50.0,22,50.0,50.0,50.0,0.0,607.2983,32.4776,639.7759,2.7988,0.9407,0.9132,5,7,2,37,1,0,27
STORJ,H1,172,82,43.9,90,47.78,45.93,47.67,1.74,606.8594,135.5456,742.405,2.1107,1.5312,0.5926,4,6,10,162,0,0,110
WIF,H1,201,102,45.1,99,44.44,44.78,45.27,0.5,605.5227,158.7801,764.3027,1.5656,1.1057,0.7828,5,8,8,193,0,0,64
MOVE,H1,98,48,54.17,50,50.0,52.04,53.06,1.02,602.4726,75.5346,678.0072,2.8241,1.4888,0.5607,5,7,7,91,0,0,68
FLOW,H1,139,71,39.44,68,44.12,41.73,42.45,0.72,599.3665,105.0384,704.405,2.2528,0.9345,0.6897,5,6,7,132,0,0,116
TRUST,H1,39,19,36.84,20,35.0,35.9,41.03,5.13,590.2623,32.5205,622.7828,4.8768,0.6528,0.4664,3,7,1,38,0,0,26
GRASS,H1,131,67,46.27,64,50.0,48.09,48.85,0.76,586.519,101.1086,687.6276,1.9747,1.4625,0.9339,6,6,10,121,0,0,54
AVAX,H1,164,80,46.25,84,58.33,52.44,55.49,3.05,580.1575,126.9104,707.0679,2.3398,2.1373,0.4717,7,7,13,151,0,0,107
BANK,H1,82,46,50.0,36,44.44,47.56,53.66,6.1,579.5017,61.7507,641.2524,2.6399,1.3132,0.6571,7,8,2,80,0,0,42
ROSE,H1,158,79,51.9,79,45.57,48.73,49.37,0.63,577.5594,117.7005,695.2599,2.0671,1.4313,0.7908,8,6,8,150,0,0,97
KNC,H1,151,66,53.03,85,41.18,46.36,49.01,2.65,565.1853,113.3973,678.5826,2.4708,1.419,0.3501,5,7,9,142,0,0,126
AKE,H1,50,26,57.69,24,54.17,56.0,56.0,0.0,565.0253,38.4051,603.4304,3.5973,1.4992,0.652,5,3,4,46,0,0,22
JTO,H1,207,104,39.42,103,50.49,44.93,46.38,1.45,564.6962,155.5815,720.2777,1.6895,1.259,1.2679,8,10,12,195,0,0,84
BAS,H1,55,28,46.43,27,55.56,50.91,54.55,3.64,560.8329,44.8461,605.679,2.1501,0.7353,2.0192,4,4,3,51,1,0,18
WOO,H1,182,91,47.25,91,36.26,41.76,45.05,3.3,560.5653,140.3721,700.9373,1.85,1.1329,0.6489,6,7,12,170,0,0,93
RONIN,H1,139,66,48.48,73,43.84,46.04,48.92,2.88,557.6814,107.1501,664.8314,2.2764,1.4776,0.5081,5,13,12,127,0,0,113
METIS,H1,171,87,42.53,84,42.86,42.69,45.03,2.34,554.6662,130.2705,684.9367,1.7966,1.0659,0.7524,6,9,13,158,0,0,95
SUPER,H1,187,103,45.63,84,40.48,43.32,44.92,1.6,554.4633,135.8267,690.2901,1.8196,1.1613,1.0368,9,5,8,179,0,0,100
MUBARAK,H1,92,41,60.98,51,41.18,50.0,53.26,3.26,554.0429,70.7659,624.8088,2.4934,0.9619,0.8792,6,4,4,88,0,0,51
HEMI,H1,52,28,57.14,24,41.67,50.0,51.92,1.92,553.3361,40.1107,593.4468,3.9876,1.3075,0.5424,5,9,2,50,0,0,31
SAPIEN,H1,53,32,71.88,21,38.1,58.49,66.04,7.55,548.0135,41.9291,589.9426,3.5871,1.4042,0.6854,6,5,5,48,0,0,27
AVAAI,H1,117,60,46.67,57,50.88,48.72,50.43,1.71,547.8031,91.3549,639.158,1.8846,1.28,1.0848,8,9,5,112,0,0,40
ONDO,H1,192,102,46.08,90,44.44,45.31,48.96,3.65,544.7396,146.9079,691.6474,1.7724,1.2803,1.2046,7,9,11,181,0,0,107
SYN,H1,124,62,45.16,62,43.55,44.35,45.97,1.61,540.2555,95.2346,635.4901,2.0473,1.1966,0.8072,7,8,8,116,0,0,72
SWARMS,H1,106,52,53.85,54,31.48,42.45,43.4,0.94,539.9971,81.6678,621.665,1.7168,1.0055,1.6889,5,6,10,95,1,0,48
TRADOOR,H1,46,27,25.93,19,36.84,30.43,32.61,2.17,530.6236,36.9639,567.5875,2.5381,0.6694,1.0547,3,8,1,45,0,0,12
1000RATS,H1,192,97,47.42,95,42.11,44.79,47.92,3.12,527.0231,156.1184,683.1415,1.4559,1.0344,1.4674,4,7,12,180,0,0,88
INIT,H1,86,43,58.14,43,39.53,48.84,50.0,1.16,522.9538,68.1139,591.0677,2.604,1.5483,0.5323,7,5,3,83,0,0,43
BABY,H1,80,43,62.79,37,32.43,48.75,50.0,1.25,521.5638,61.7643,583.3281,2.7075,1.4767,0.4608,4,6,5,75,0,0,47
GMX,H1,150,72,45.83,78,42.31,44.0,47.33,3.33,517.4663,117.7591,635.2254,2.1515,1.4792,0.7022,5,8,11,139,0,0,116
PIXEL,H1,166,81,43.21,85,45.88,44.58,46.99,2.41,514.7739,130.6635,645.4374,1.7417,1.05,1.1176,7,10,4,162,0,0,77
